Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Full_Address,Coords
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,AVENIDA PETAPA ZONA 12 GUATEMALA,DIESEL,31.75,A,"AVENIDA PETAPA ZONA 12 GUATEMALA, GUATEMALA","(14.58739, -90.54511)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,AVENIDA PETAPA ZONA 12 GUATEMALA,REGULAR,34.5,A,"AVENIDA PETAPA ZONA 12 GUATEMALA, GUATEMALA","(14.58739, -90.54511)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,AVENIDA PETAPA ZONA 12 GUATEMALA,SUPER,37.2,A,"AVENIDA PETAPA ZONA 12 GUATEMALA, GUATEMALA","(14.58739, -90.54511)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,TEXACO,CALZADA ATANASIO TZUL TEXACO GUATEMALA,DIESEL,35.15,A,"CALZADA ATANASIO TZUL TEXACO GUATEMALA, GUATEMALA","(14.58915, -90.54215)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,TEXACO,CALZADA ATANASIO TZUL TEXACO GUATEMALA,REGULAR,36.5,A,"CALZADA ATANASIO TZUL TEXACO GUATEMALA, GUATEMALA","(14.58915, -90.54215)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,TEXACO,CALZADA ATANASIO TZUL TEXACO GUATEMALA,SUPER,37.8,A,"CALZADA ATANASIO TZUL TEXACO GUATEMALA, GUATEMALA","(14.58915, -90.54215)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA,DIESEL,33.15,A,"CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA, GUATEMALA","(14.5896361, -90.5419112)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA,REGULAR,35.45,A,"CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA, GUATEMALA","(14.5896361, -90.5419112)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,SHELL,CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA,SUPER,38.1,A,"CALZADA ATANASIO TZUL ZONA 12 SHELL GUATEMALA, GUATEMALA","(14.5896361, -90.5419112)"
2023,12,1,GUATEMALA,1010,GUATEMALA,ESTACION DE SERVICIO AEROPUERTO,TEXACO,1 AVENIDA 1-10 ZONA 10 GUATEMALA,DIESEL,35.15,A,"1 AVENIDA 1-10 ZONA 10 GUATEMALA, GUATEMALA","(14.46466, -90.44077)"
